    PID    PPID CMD                         %MEM %CPU
  49768   49766 /bin/bash /home/blouie1/bin  0.1  0.0
   8120    6250 /snap/firefox/1671/usr/lib/  0.1  0.0
   1633    1630 /usr/libexec/gnome-session-  0.1  0.0
    802       1 avahi-daemon: running [kura  0.1  0.0
    882       1 /usr/bin/python3 /usr/share  0.0  0.0
    730       1 /lib/systemd/systemd-oomd    0.0  0.2
   1601    1593 /usr/bin/pipewire            0.0  0.0
    512       1 /lib/systemd/systemd-udevd   0.0  0.0
   1602    1593 /usr/bin/pipewire-media-ses  0.0  0.0
   1113       1 /usr/libexec/rtkit-daemon    0.0  0.0
  35690    2297 bash                         0.0  0.0
   1796    1593 /usr/libexec/xdg-permission  0.0  0.0
   2119    1693 /usr/libexec/gsd-disk-utili  0.0  0.0
   2353    2297 bash                         0.0  0.0
    809       1 /usr/sbin/irqbalance --fore  0.0  0.0
    834       1 /sbin/wpa_supplicant -u -s   0.0  0.0
   1953    1910 /usr/libexec/ibus-memconf    0.0  0.0
    977       1 sshd: /usr/sbin/sshd -D [li  0.0  0.0
  32521    2297 bash                         0.0  0.0
  34216    1610 /usr/bin/ssh-agent -D -a /r  0.0  0.0
    862       1 /usr/bin/python3 /usr/bin/g  0.0  0.0
    955       1 /usr/sbin/cron -f -P         0.0  0.0
   1620    1593 /usr/libexec/gvfsd-fuse /ru  0.0  0.0
   1005       1 /usr/sbin/kerneloops         0.0  0.0
    984       1 /usr/sbin/kerneloops --test  0.0  0.0
  39808   39792 dbus-run-session -- gnome-s  0.0  0.0
   1594    1593 (sd-pam)                     0.0  0.0
  49766   49764 /bin/sh -c /home/blouie1/bi  0.0  0.0
   2037    2017 fusermount3 -o rw,nosuid,no  0.0  0.0
   1866    1593 sh -c /usr/bin/ibus-daemon   0.0  0.0
   1680    1593 /usr/libexec/gnome-session-  0.0  0.0
   1004       1 /sbin/agetty -o -p -- \u --  0.0  0.0
    847     802 avahi-daemon: chroot helper  0.0  0.0
      2       0 [kthreadd]                   0.0  0.0
      3       2 [rcu_gp]                     0.0  0.0
      4       2 [rcu_par_gp]                 0.0  0.0
      5       2 [netns]                      0.0  0.0
      7       2 [kworker/0:0H-events_highpr  0.0  0.0
      9       2 [mm_percpu_wq]               0.0  0.0
     10       2 [rcu_tasks_rude_]            0.0  0.0
     11       2 [rcu_tasks_trace]            0.0  0.0
     12       2 [ksoftirqd/0]                0.0  0.0
     13       2 [rcu_sched]                  0.0  0.1
     14       2 [migration/0]                0.0  0.0
     15       2 [idle_inject/0]              0.0  0.0
     17       2 [cpuhp/0]                    0.0  0.0
     18       2 [cpuhp/1]                    0.0  0.0
     19       2 [idle_inject/1]              0.0  0.0
     20       2 [migration/1]                0.0  0.0
     21       2 [ksoftirqd/1]                0.0  0.0
     23       2 [kworker/1:0H-events_highpr  0.0  0.0
     24       2 [cpuhp/2]                    0.0  0.0
     25       2 [idle_inject/2]              0.0  0.0
     26       2 [migration/2]                0.0  0.0
     27       2 [ksoftirqd/2]                0.0  0.0
     29       2 [kworker/2:0H-events_highpr  0.0  0.0
     30       2 [cpuhp/3]                    0.0  0.0
     31       2 [idle_inject/3]              0.0  0.0
     32       2 [migration/3]                0.0  0.0
     33       2 [ksoftirqd/3]                0.0  0.0
     35       2 [kworker/3:0H-events_highpr  0.0  0.0
     36       2 [cpuhp/4]                    0.0  0.0
     37       2 [idle_inject/4]              0.0  0.0
     38       2 [migration/4]                0.0  0.0
     39       2 [ksoftirqd/4]                0.0  0.0
     41       2 [kworker/4:0H-events_highpr  0.0  0.0
     42       2 [cpuhp/5]                    0.0  0.0
     43       2 [idle_inject/5]              0.0  0.0
     44       2 [migration/5]                0.0  0.0
     45       2 [ksoftirqd/5]                0.0  0.0
     47       2 [kworker/5:0H-events_highpr  0.0  0.0
     48       2 [cpuhp/6]                    0.0  0.0
     49       2 [idle_inject/6]              0.0  0.0
     50       2 [migration/6]                0.0  0.0
     51       2 [ksoftirqd/6]                0.0  0.0
     53       2 [kworker/6:0H-events_highpr  0.0  0.0
     54       2 [cpuhp/7]                    0.0  0.0
     55       2 [idle_inject/7]              0.0  0.0
     56       2 [migration/7]                0.0  0.0
     57       2 [ksoftirqd/7]                0.0  0.0
     59       2 [kworker/7:0H-events_highpr  0.0  0.0
     60       2 [kdevtmpfs]                  0.0  0.0
     61       2 [inet_frag_wq]               0.0  0.0
     69       2 [kauditd]                    0.0  0.0
     70       2 [khungtaskd]                 0.0  0.0
     71       2 [oom_reaper]                 0.0  0.0
     72       2 [writeback]                  0.0  0.0
     73       2 [kcompactd0]                 0.0  0.0
     74       2 [ksmd]                       0.0  0.0
     75       2 [khugepaged]                 0.0  0.0
    121       2 [kintegrityd]                0.0  0.0
    122       2 [kblockd]                    0.0  0.0
    123       2 [blkcg_punt_bio]             0.0  0.0
    124       2 [tpm_dev_wq]                 0.0  0.0
    125       2 [ata_sff]                    0.0  0.0
    126       2 [md]                         0.0  0.0
    127       2 [edac-poller]                0.0  0.0
    128       2 [devfreq_wq]                 0.0  0.0
    129       2 [watchdogd]                  0.0  0.0
    131       2 [kworker/0:1H-kblockd]       0.0  0.0
    132       2 [kswapd0]                    0.0  0.1
    133       2 [ecryptfs-kthrea]            0.0  0.0
    135       2 [kthrotld]                   0.0  0.0
    136       2 [irq/49-ACPI:Ged]            0.0  0.0
    137       2 [acpi_thermal_pm]            0.0  0.0
    139       2 [mld]                        0.0  0.0
    140       2 [kworker/5:1H-kblockd]       0.0  0.0
    141       2 [ipv6_addrconf]              0.0  0.0
    150       2 [kstrp]                      0.0  0.0
    153       2 [zswap-shrink]               0.0  0.0
    154       2 [kworker/u17:0]              0.0  0.0
    158       2 [cryptd]                     0.0  0.0
    196       2 [charger_manager]            0.0  0.0
    218       2 [kworker/2:1H-kblockd]       0.0  0.0
    259       2 [kworker/1:1H-kblockd]       0.0  0.0
    263       2 [kworker/7:1H-kblockd]       0.0  0.0
    267       2 [kworker/3:1H-kblockd]       0.0  0.0
    270       2 [kworker/4:1H-kblockd]       0.0  0.0
    272       2 [kworker/6:1H-kblockd]       0.0  0.0
    307       2 [kdmflush]                   0.0  0.0
    333       2 [raid5wq]                    0.0  0.0
    382       2 [jbd2/dm-0-8]                0.0  0.0
    383       2 [ext4-rsv-conver]            0.0  0.0
    420       2 [hwrng]                      0.0  0.0
    490       2 [ipmi-msghandler]            0.0  0.0
    504       2 [kaluad]                     0.0  0.0
    506       2 [kmpath_rdacd]               0.0  0.0
    508       2 [kmpathd]                    0.0  0.0
    509       2 [kmpath_handlerd]            0.0  0.0
    587       2 [scsi_eh_0]                  0.0  0.0
    595       2 [scsi_tmf_0]                 0.0  0.0
    597       2 [usb-storage]                0.0  0.0
    632       2 [uas]                        0.0  0.0
    695       2 [jbd2/vda2-8]                0.0  0.0
    696       2 [ext4-rsv-conver]            0.0  0.0
  38811       2 [kworker/1:0-cgwb_release]   0.0  0.0
  40871       2 [kworker/5:1-cgroup_destroy  0.0  0.0
  42153       2 [kworker/3:1-events]         0.0  0.0
  45090       2 [kworker/u16:5-events_unbou  0.0  0.0
  45911       2 [kworker/3:2-mm_percpu_wq]   0.0  0.0
